id,intakereason,animalname,breedname,basecolour,speciesname,animalage,sexname,movementtype,intakedate,movementdate,Time take to move out
47688,Abandoned,Beyonce,Domestic Short Hair,Grey and White,Cat,2 years 10 months.,Female,Adoption,,,
47695,Abandoned,Earnest,Labrador Retriever/German Shepherd Dog,Black,Dog,2 years 3 months.,Male,Adoption,15/Mar/17,1/Apr/17,17.00
47696,Abandoned,Pepsi,Domestic Short Hair,Grey and White,Cat,2 years 8 months.,Male,Adoption,,,
47697,Abandoned,William,Domestic Short Hair,Fawn,Cat,3 years 8 months.,Male,Adoption,,,
47698,Stray,Amal Clooney,Domestic Short Hair,Black,Cat,4 years 10 months.,Female,Foster,,,
47698,Stray,Amal Clooney,Domestic Short Hair,Black,Cat,4 years 10 months.,Female,Adoption,,,
47701,,Jordan,Domestic Medium Hair,Brown and Black,Cat,4 years 7 months.,Male,Transfer,,,
47702,Abandoned,Sadie,Boxer/Shep Mix,Brindle,Dog,9 years 3 months.,Female,Adoption,15/Mar/17,8/Apr/17,24.00
47703,Abandoned,Promise,Domestic Long Hair,Black,Cat,2 years 8 months.,Female,Foster,,,
47703,Abandoned,Promise,Domestic Long Hair,Black,Cat,2 years 8 months.,Female,Adoption,,,
47704,Abandoned,Charlie,Chihuahua/Mix,Red,Dog,2 years 4 months.,Male,Adoption,15/Mar/17,9/Jun/17,86.00
47707,Abandoned,Benji,DMH/DSH,Black,Cat,1 year 8 months.,Male,Foster,,,
47707,Abandoned,Benji,DMH/DSH,Black,Cat,1 year 8 months.,Male,Adoption,,,
47708,Abandoned,Simba,DMH/DSH,Black,Cat,1 year 8 months.,Male,Foster,,,
47708,Abandoned,Simba,DMH/DSH,Black,Cat,1 year 8 months.,Male,Adoption,,,
47710,Abandoned,Jayce,Pitbull,Blue,Dog,5 years 8 months.,Male,Reclaimed,,,
47712,Stray,Maya,Pomeranian/Siberian Husky,Silver,Dog,2 years 6 months.,Female,Adoption,18/Mar/17,12/Apr/17,25.00
47712,Stray,Maya,Pomeranian/Siberian Husky,Silver,Dog,2 years 6 months.,Female,Adoption,18/Mar/17,12/Apr/17,25.00
47712,Stray,Maya,Pomeranian/Siberian Husky,Silver,Dog,2 years 6 months.,Female,Reclaimed,,,
47714,Abandoned,Acheron,Pitbull,Grey,Dog,4 years 7 months.,Male,Adoption,20/Mar/17,31/Mar/17,11.00
47715,Abandoned,Renesmee,Pitbull/Mix,Brown,Dog,6 years 2 months.,Female,Foster,21/Mar/17,8/Apr/17,18.00
47715,Abandoned,Renesmee,Pitbull/Mix,Brown,Dog,6 years 2 months.,Female,Adoption,21/Mar/17,12/Apr/17,22.00
47717,Police Assist,Luna,Pitbull/Mix,Black and White,Dog,4 years 8 months.,Female,Adoption,22/Mar/17,2/Apr/17,11.00
47717,Police Assist,Luna,Pitbull/Mix,Black and White,Dog,4 years 8 months.,Female,Adoption,23/Mar/17,31/Mar/17,8.00
47718,Abandoned,Tank,American Staffordshire Terrier,Black and White,Dog,6 years 8 months.,Male,Adoption,23/Mar/17,19/Aug/17,149.00
47718,Abandoned,Tank,American Staffordshire Terrier,Black and White,Dog,6 years 8 months.,Male,Adoption,23/Mar/17,30/Mar/18,372.00
47721,Incompatible with owner lifestyle,Smokey,Terrier,Grey and White,Dog,2 years 8 months.,Male,Adoption,23/Mar/17,20/May/17,58.00
47721,Incompatible with owner lifestyle,Smokey,Terrier,Grey and White,Dog,2 years 8 months.,Male,Adoption,23/Mar/17,11/May/17,49.00
47724,Abandoned,Magnolia,Rex,White,House Rabbit,6 years 1 month.,Female,Foster,,,
47724,Abandoned,Magnolia,Rex,White,House Rabbit,6 years 1 month.,Female,Adoption,,,
47724,Abandoned,Magnolia,Rex,White,House Rabbit,6 years 1 month.,Female,Adoption,,,
47725,Abandoned,Sailor,Lionhead/Jersey Wooly,White,House Rabbit,5 years 5 months.,Male,Transfer,,,
47727,Abandoned,Elliot,Terrier/Beagle,Brown,Dog,9 years 8 months.,Male,Adoption,23/Mar/17,9/Jul/17,108.00
47727,Abandoned,Elliot,Terrier/Beagle,Brown,Dog,9 years 8 months.,Male,Adoption,23/Mar/17,7/Jun/17,76.00
47728,Abandoned,Moto,Rat Terrier,Black and White,Dog,16 years 8 months.,Male,Adoption,23/Mar/17,30/Jan/18,313.00
47730,Abandoned,Beemer,Domestic Short Hair,Orange and White,Cat,1 year 11 months.,Male,Adoption,,,
47733,,Peter,Rex,Chocolate,House Rabbit,2 years 2 months.,Male,Adoption,,,
47735,Abandoned,Cottontail,American,Brown,House Rabbit,4 years 3 months.,Female,Transfer,,,
47736,Abandoned,Floppsy,Dutch,Brown,House Rabbit,4 years 3 months.,Male,Adoption,,,
47737,Abandoned,Mopsy,Rex,Chocolate,House Rabbit,4 years 3 months.,Female,Transfer,,,
47738,Biting,Kingston,Australian Shepherd/Border Collie,Black and White,Dog,4 years 5 months.,Male,Reclaimed,,,
47740,Abandoned,Whiskers,Standard,White,Rat,4 years 6 months.,Male,Adoption,,,
47741,Abandoned,Racer,Standard,Grey and White,Rat,4 years 7 months.,Male,Adoption,,,
47742,Abandoned,Snickers,Mastiff/Mix,Tan,Dog,2 years 7 months.,Male,Adoption,23/Mar/17,7/May/17,45.00
47744,Abandoned,Tara,Pitbull/Labrador Retriever,Black,Dog,2 years 6 months.,Female,Foster,23/Mar/17,15/Sep/17,176.00
47744,Abandoned,Tara,Pitbull/Labrador Retriever,Black,Dog,2 years 6 months.,Female,Adoption,24/Mar/17,5/Apr/17,12.00
47747,Abandoned,Jelly,Border Collie/Mix,Black and White,Dog,2 years 9 months.,Female,Foster,24/Mar/17,29/Jun/17,97.00
47747,Abandoned,Jelly,Border Collie/Mix,Black and White,Dog,2 years 9 months.,Female,Adoption,24/Mar/17,8/Apr/17,15.00
47748,Abandoned,Peach,Border Collie/Mix,Brown,Dog,1 year 8 months.,Female,Foster,24/Mar/17,15/Nov/17,236.00
47748,Abandoned,Peach,Border Collie/Mix,Brown,Dog,1 year 8 months.,Female,Adoption,24/Mar/17,5/Apr/17,12.00
47749,Abandoned,Buster Brown,Border Collie/Mix,Brown and White,Dog,1 year 8 months.,Male,Foster,25/Mar/17,4/Apr/17,10.00
47749,Abandoned,Buster Brown,Border Collie/Mix,Brown and White,Dog,1 year 8 months.,Male,Adoption,25/Mar/17,17/Apr/17,23.00
47750,Abandoned,Pepper,Border Collie/Mix,Brown and White,Dog,2 years 0 months.,Female,Foster,25/Mar/17,15/Apr/17,21.00
